timestamp,linear_x,angular_z
1751541542.0078177,0.1,0.0
1751541542.018526,0.1,0.0
1751541542.0290117,0.1,0.0
1751541542.0395868,0.1,0.0
1751541542.0502064,0.1,0.0
1751541542.0607593,0.1,0.0
1751541542.0713258,0.1,0.0
1751541542.0817838,0.1,0.0
1751541542.09229,0.1,0.0
1751541542.1035388,0.1,0.0
1751541542.11365,0.1,0.0
1751541542.1241112,0.1,0.0
1751541542.1345482,0.1,0.0
1751541542.1449754,0.1,0.0
1751541542.15562,0.1,0.0
1751541542.166164,0.1,0.0
1751541542.1768627,0.1,0.0
1751541542.1875672,0.1,0.0
1751541542.1988451,0.1,0.0
1751541542.2092175,0.1,0.0
1751541542.219866,0.1,0.0
1751541542.2307513,0.1,0.0
1751541542.2418697,0.1,0.0
1751541542.2525823,0.1,0.0
1751541542.263257,0.1,0.0
1751541542.2738533,0.1,0.0
1751541542.2843819,0.1,0.0
1751541542.29601,0.1,0.0
1751541542.3065772,0.1,0.0
1751541542.3174832,0.1,0.0
1751541542.3281624,0.1,0.0
1751541542.3387299,0.1,0.0
1751541542.349317,0.1,0.0
1751541542.361417,0.1,0.0
1751541542.3724177,0.1,0.0
1751541542.3845558,0.1,0.0
1751541542.393841,0.1,0.0
1751541542.4049904,0.1,0.0
1751541542.4156673,0.1,0.0
1751541542.4265566,0.1,0.0
1751541542.4388037,0.1,0.0
1751541542.4496996,0.1,0.0
1751541542.460836,0.1,0.0
1751541542.472491,0.1,0.0
1751541542.482443,0.1,0.0
1751541542.4930654,0.1,0.0
1751541542.5047572,0.1,0.0
1751541542.5153482,0.1,0.0
1751541542.526234,0.1,0.0
1751541542.5369623,0.1,0.0
1751541542.547795,0.1,0.0
1751541542.5584505,0.1,0.0
1751541542.569822,0.1,0.0
1751541542.5806222,0.1,0.0
1751541542.5913637,0.1,0.0
1751541542.6026196,0.1,0.0
1751541542.6130114,0.1,0.0
1751541542.6248453,0.1,0.0
1751541542.6372907,0.1,0.0
1751541542.6495438,0.1,0.0
1751541542.6613379,0.1,0.0
1751541542.6726873,0.1,0.0
1751541542.6869338,0.1,0.0
1751541542.6973014,0.1,0.0
1751541542.709135,0.1,0.0
1751541542.7214098,0.1,0.0
1751541542.733111,0.1,0.0
1751541542.7444665,0.1,0.0
1751541542.756938,0.1,0.0
1751541542.768351,0.1,0.0
1751541542.7800772,0.1,0.0
1751541542.7920094,0.1,0.0
1751541542.8061912,0.1,0.0
1751541542.8170445,0.1,0.0
1751541542.8284366,0.1,0.0
1751541542.839734,0.1,0.0
1751541542.8519611,0.1,0.0
1751541542.8643165,0.1,0.0
1751541542.8759031,0.1,0.0
