timestamp,x,y,z,qx,qy,qz,qw
1751541542.0847888,0.22377,-0.00995,0.0,-0.0069633039008240956,-0.004660857797418895,-0.032838396640876164,0.9994255492578891
1751541542.1838613,0.23328,-0.01053,0.0,-0.006077949413667967,-0.004251836458724149,-0.03309344570536219,0.9994247366705505
1751541542.283908,0.24559,-0.01094,0.0,-0.007480000175973368,-0.004193880784103502,-0.03466918649266942,0.9993620507450103
1751541542.384708,0.25625,-0.01259,0.0,-0.006674045970691281,-0.003795539195891766,-0.03309324371578249,0.9994227775135812
1751541542.4858222,0.26422,-0.01292,0.0,-0.00700646305349217,-0.003258856323568024,-0.033352670927881786,0.9994137725051215
1751541542.5844703,0.27269,-0.01292,0.0,-0.007468537152464112,-0.003936810682579003,-0.03405682506173257,0.9993842379891562
1751541542.6843648,0.283,-0.0145,0.0,-0.006746526882964726,-0.003264055894995086,-0.03387510479271526,0.9993979725761977
1751541542.7877398,0.29413,-0.01504,0.0,-0.007176960088911845,-0.0030742208243277323,-0.033962526500226534,0.9993926091401351
1751541542.884011,0.30342,-0.01538,0.0,-0.007462841260116284,-0.003668660662083096,-0.0349270584422153,0.9993552659179052
1751541542.9892156,0.3111,-0.01641,0.0,-0.007012578167055623,-0.003339341703422347,-0.03431261444623423,0.9993809669161718
1751541543.0888827,0.32098,-0.01697,0.0,-0.007096800546065436,-0.0032491348001115476,-0.03431230743559205,0.9993806802732909
1751541543.1937683,0.33281,-0.01736,0.0,-0.007008805805230936,-0.0031600241756290686,-0.035009124391228684,0.9993574195940876
1751541543.286165,0.34327,-0.01791,0.0,-0.00708052300785875,-0.0027215342657318604,-0.03491919377998065,0.9993613507390267
1751541543.3857694,0.35026,-0.01852,0.0,-0.006744929897713118,-0.0030802130278185925,-0.03526935825688118,0.9993503342554731
1751541543.4867463,0.35918,-0.01891,0.0,-0.007098493454155714,-0.0031513948699768654,-0.035794282142145147,0.9993289996127317
1751541543.5904467,0.37205,-0.01983,0.0,-0.006917057080808576,-0.0029850367227103733,-0.03553093961920934,0.9993401804225032
1751541543.695551,0.38322,-0.02089,0.0,-0.006749937477417525,-0.0031633002081438186,-0.03588038789841288,0.9993282892223673
1751541543.788663,0.39164,-0.02236,0.0,-0.0070962916358142305,-0.003156349784906772,-0.035096610221811965,0.9993537452033653
1751541543.8963335,0.39785,-0.02251,0.0,-0.0069260639703073185,-0.003247268098965678,-0.03544548031480514,0.9993423351449818
1751541543.988687,0.40942,-0.02332,0.0,-0.006946241904285941,-0.003767492423317801,-0.03588501350543285,0.9993246827382791
1751541544.0892324,0.4237,-0.02484,0.0,-0.007299609597265315,-0.003932566318843532,-0.035451509223862476,0.9993370007738259
1751541544.1908689,0.43247,-0.02582,0.0,-0.006797620249781372,-0.004470230574660079,-0.036063287468062234,0.9993163906864256
1751541544.2890837,0.43913,-0.0258,0.0,-0.00769519632023828,-0.005043831170008412,-0.036769284659560544,0.9992814235371063
1751541544.3887236,0.44868,-0.0266,0.0,-0.007798694975547437,-0.005567929591493229,-0.036250364155287575,0.9992967975608404
1751541544.489427,0.4606,-0.02739,0.0,-0.00719240464146215,-0.005676023146256724,-0.03642195669116196,0.999294497707009
1751541544.5900009,0.47318,-0.0283,0.0,-0.00807765609166747,-0.00599235004285223,-0.036516762155191604,0.9992824271919976
1751541544.6888037,0.48161,-0.02906,0.0,-0.007554431952952654,-0.0060114693525134795,-0.03651361956255085,0.9992865196631712
